Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010012567824,19-Jan-10,1/3/10 13:30,OGG,"Kahului-Maui, HI",American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Other; Personal Electronics; Personal Electronics,$0.00 ,Deny
2010012567829,19-Jan-10,1/15/10 20:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Jewelry & Watches,$0.00 ,Deny
2010012567831,19-Jan-10,1/13/10 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,$0.00 ,Deny
2010012567834,19-Jan-10,1/15/10 0:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$6.94 ,Approve in Full
2010012567837,19-Jan-10,1/16/10 0:00,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010012567838,19-Jan-10,1/12/10 0:00,MKE,General Mitchell International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010012567840,19-Jan-10,1/13/10 15:29,OKC,Will Rogers World,Northwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010012567841,19-Jan-10,1/15/10 0:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012567844,19-Jan-10,1/2/10 0:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,$0.00 ,Deny
2010012567850,19-Jan-10,1/10/10 0:00,JFK,John F. Kennedy International,Cathay Pacific - CX,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012567852,19-Jan-10,1/16/10 0:00,TPA,Tampa International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012667864,19-Jan-10,1/3/10 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012667871,19-Jan-10,1/5/10 11:00,PHX,Phoenix Sky Harbor International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other; Cameras; Toys & Games",$0.00 ,Deny
2010012667872,19-Jan-10,1/5/10 13:00,SJC,Norman Y Mineta San Jose International,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,$487.89 ,Approve in Full
2010012667875,19-Jan-10,1/11/10 23:50,JFK,John F. Kennedy International,Air France,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010012667880,19-Jan-10,1/9/10 0:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2010012667888,19-Jan-10,1/8/10 0:00,SLC,Salt Lake City International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Sporting Equipment & Supplies,$0.00 ,Deny
2010012667891,19-Jan-10,1/3/10 18:30,ORF,Norfolk International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$79.00 ,Approve in Full
2010012667892,19-Jan-10,1/6/10 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
